symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl
GREAVESCOT,09-01-2022,19-01-2022,209.4,249.65,211,8492.75
INDIACEM,09-01-2022,23-01-2022,250.1,212.5,374,-14062.4
REDINGTON,09-01-2022,23-01-2022,170.55,152.8,541,-9602.75
GREAVESCOT,09-01-2022,24-01-2022,209.4,201.85,452,-3412.6
BALRAMCHIN,09-01-2022,20-02-2022,419.9,393,236,-6348.4
AAVAS,09-01-2022,20-02-2022,2733.5,3017.2,24,6808.8
DEEPAKFERT,16-01-2022,18-01-2022,564.95,510.8,132,-7147.8
RAIN,16-01-2022,23-01-2022,248.4,215.25,176,-5834.4
NBCC,16-01-2022,23-01-2022,35.07,30.07,1112,-5560
PRAJIND,16-01-2022,13-02-2022,427.15,349.85,126,-9739.8
SPARC,16-01-2022,21-02-2022,321,282.2,154,-5975.2
TNPL,20-03-2022,04-04-2022,160.75,195,245,8391.25
CHENNPETRO,20-03-2022,04-04-2022,126.85,153.65,258,6914.4
TNPL,20-03-2022,01-05-2022,160.75,216.95,598,33607.6
CHENNPETRO,20-03-2022,01-05-2022,126.85,307.15,552,99525.6
VOLTAS,20-03-2022,01-05-2022,1288.7,1230.95,81,-4677.75
RCF,27-03-2022,03-04-2022,81.15,101.25,164,3296.4
RCF,27-03-2022,04-05-2022,81.15,91.55,388,4035.2
UFLEX,27-03-2022,08-05-2022,595.65,611.05,135,2079
MHRIL,27-03-2022,08-05-2022,232.35,234.05,342,581.4
JSWSTEEL,27-03-2022,08-05-2022,730.1,678.35,92,-4761
THOMASCOOK,03-04-2022,05-05-2022,76.95,69.6,479,-3520.65
ADANIPORTS,03-04-2022,08-05-2022,818.55,792.6,56,-1453.2
CRISIL,03-04-2022,15-05-2022,3286.3,3673.3,14,5418
HSCL,10-07-2022,21-08-2022,91.2,97.35,1010,6211.5
SIEMENS,10-07-2022,21-08-2022,2038.25,2190.65,78,11887.2
TIINDIA,10-07-2022,21-08-2022,2056.4,2112.35,43,2405.85
ITI,17-07-2022,28-08-2022,117.35,112.7,529,-2459.85
GALAXYSURF,17-07-2022,28-08-2022,3028.05,3249.6,28,6203.4
FEDERALBNK,24-07-2022,04-09-2022,107.35,123.55,321,5200.2
FEDERALBNK,24-07-2022,04-09-2022,107.35,123.55,692,11210.4
KARURVYSYA,31-07-2022,25-08-2022,48.95,57.9,475,4251.25
YESBANK,31-07-2022,07-09-2022,15.25,17.75,1460,3650
KARURVYSYA,31-07-2022,11-09-2022,48.95,62.6,1006,13731.9
YESBANK,31-07-2022,11-09-2022,15.25,17.55,3111,7155.3
NAVINFLUOR,07-08-2022,18-09-2022,4462.15,4633.15,12,2052
BRIGADE,07-08-2022,18-09-2022,519.15,534.85,91,1428.7
BEML,21-08-2022,07-09-2022,915.9,768.6,86,-12667.8
CENTURYPLY,21-08-2022,02-10-2022,666.8,629.25,121,-4543.55
TATACHEM,21-08-2022,02-10-2022,1087.5,1093.7,66,409.2
RPOWER,28-08-2022,31-08-2022,16.3,20.15,1256,4835.6
RPOWER,28-08-2022,08-09-2022,16.3,19.2,2720,7888
ITDC,28-08-2022,25-09-2022,392.2,350.7,175,-7262.5
VAKRANGEE,11-09-2022,25-09-2022,40.3,35.95,2731,-11879.85
ICRA,16-10-2022,27-11-2022,3982.35,4241.05,48,12417.6
HUDCO,06-11-2022,16-11-2022,42,48.9,1252,8638.8
HUDCO,06-11-2022,18-12-2022,42,57.9,3280,52152
PFC,20-11-2022,30-11-2022,100.05,110.8,650,6987.5
PFC,20-11-2022,22-12-2022,100.05,105.45,1362,7354.8
ITDC,27-11-2022,21-12-2022,385.1,346.55,306,-11796.3
BBTC,04-12-2022,15-12-2022,1036.1,966.2,147,-10275.3
MOIL,04-12-2022,22-12-2022,166,152.7,522,-6942.6
DABUR,04-12-2022,05-01-2023,587.1,552.85,208,-7124
BALMLAWRIE,04-12-2022,15-01-2023,115.65,117.05,1054,1475.6
MINDACORP,09-04-2023,21-05-2023,254.45,279.3,576,14313.6
DLF,16-04-2023,15-05-2023,415.35,471.75,158,8911.2
JBCHEPHARM,16-04-2023,15-05-2023,1071.9,999.9,138,-9936
DLF,16-04-2023,28-05-2023,415.35,482.65,334,22478.2
OBEROIRLTY,16-04-2023,28-05-2023,916.8,929.65,187,2402.95
PRSMJOHNSN,23-04-2023,04-06-2023,123.55,122.55,666,-666
GSFC,01-05-2023,25-05-2023,158.99,155.28,502,-1862.42
LEMONTREE,01-05-2023,12-06-2023,87.9,93.05,623,3208.45
EIHOTEL,01-05-2023,12-06-2023,188.6,213.85,250,6312.5
FDC,01-05-2023,12-06-2023,295.35,304.15,169,1487.2
ICICIBANK,01-05-2023,12-06-2023,922.1,943.55,55,1179.75
ASTRAL,21-05-2023,04-06-2023,1677.45,1884.85,16,3318.4
NESCO,21-05-2023,02-07-2023,623.15,627.35,199,835.8
ASTRAL,21-05-2023,02-07-2023,1677.45,1964.7,34,9766.5
PRAJIND,28-05-2023,09-07-2023,386.15,409.25,377,8708.7
GULFOILLUB,28-05-2023,09-07-2023,442.8,465.2,409,9161.6
SUZLON,04-06-2023,06-06-2023,11.4,14.45,1368,4172.4
REPCOHOME,04-06-2023,04-07-2023,276.25,329.45,87,4628.4
REPCOHOME,04-06-2023,16-07-2023,276.25,314.1,211,7986.35
SUZLON,04-06-2023,16-07-2023,11.4,18.2,4075,27710
BLISSGVS,18-06-2023,16-07-2023,81.9,100.45,261,4841.55
JAGRAN,18-06-2023,19-07-2023,78.5,102.1,143,3374.8
MOTILALOFS,18-06-2023,25-07-2023,179.65,209,180,5283
MOTILALOFS,18-06-2023,30-07-2023,179.65,209.6,390,11680.5
BLISSGVS,18-06-2023,30-07-2023,81.9,99.65,801,14217.75
ASTRAZEN,18-06-2023,30-07-2023,3650.55,3866,25,5386.25
JAGRAN,18-06-2023,30-07-2023,78.5,103.85,596,15108.6
GILLETTE,02-07-2023,13-07-2023,5014.5,5662,6,3885
GILLETTE,02-07-2023,13-08-2023,5014.5,5350.5,16,5376
KSCL,09-07-2023,20-08-2023,550.75,543.7,299,-2107.95
ASHOKA,16-07-2023,10-08-2023,93.75,92.8,914,-868.3
MPHASIS,16-07-2023,23-08-2023,2028.2,2361.7,20,6670
MPHASIS,16-07-2023,27-08-2023,2028.2,2231,56,11356.8
JINDALSTEL,16-07-2023,27-08-2023,637.9,655.85,189,3392.55
TCS,16-07-2023,27-08-2023,3491.7,3375.55,37,-4297.55
NMDC,06-08-2023,22-08-2023,32.7,35.6,1543,4474.7
GODFRYPHLP,06-08-2023,17-09-2023,685,685,171,0
NMDC,06-08-2023,17-09-2023,32.7,45.4,3109,39484.3
SOLARINDS,13-08-2023,24-08-2023,4162.25,4597.4,10,4351.5
KRBL,13-08-2023,06-09-2023,399.15,461.1,44,2725.8
KRBL,13-08-2023,20-09-2023,399.15,406.6,92,685.4
SOLARINDS,13-08-2023,24-09-2023,4162.25,4612.55,24,10807.2
VIPIND,13-08-2023,24-09-2023,664.65,654.9,117,-1140.75
ZYDUSWELL,27-08-2023,11-09-2023,332.4,312.8,631,-12367.6
TNPL,27-08-2023,04-10-2023,265.4,254.8,620,-6572
PETRONET,10-09-2023,11-09-2023,229.65,216.4,567,-7512.75
IRB,10-09-2023,13-09-2023,17.08,15.92,6686,-7755.76
BALRAMCHIN,10-09-2023,22-10-2023,420.2,402.75,191,-3332.95
INDOCO,17-09-2023,03-10-2023,356.55,329.9,479,-12765.35
RADICO,11-11-2023,03-12-2023,1386.6,1649.5,41,10778.9
RADICO,11-11-2023,18-12-2023,1386.6,1541.65,111,17210.55
WABAG,11-11-2023,25-12-2023,566.8,598.05,371,11593.75
BASF,11-11-2023,25-12-2023,2855.15,3084.95,71,16315.8
JKCEMENT,11-11-2023,25-12-2023,3495.5,3765.4,41,11065.9
HINDPETRO,19-11-2023,03-12-2023,179.1,224.15,136,6126.8
HINDPETRO,19-11-2023,31-12-2023,179.1,239.15,416,24980.8
BDL,03-12-2023,17-12-2023,616.8,764.6,41,6059.8
BDL,03-12-2023,14-01-2024,616.8,877.85,125,32631.25
NFL,10-12-2023,31-12-2023,79.4,99.8,133,2713.2
AMBUJACEM,10-12-2023,22-01-2024,504,525.05,244,5136.2
INDIACEM,10-12-2023,22-01-2024,269.5,235.35,244,-8332.6
ABB,10-12-2023,22-01-2024,4786.85,4770.55,14,-228.2
NFL,10-12-2023,22-01-2024,79.4,112.05,395,12896.75
CASTROLIND,25-12-2023,16-01-2024,177.43,163.24,980,-13906.2
SUDARSCHEM,25-12-2023,16-01-2024,548.5,504.1,200,-8880
HFCL,25-12-2023,23-01-2024,85.8,105.65,314,6232.9
HERITGFOOD,25-12-2023,05-02-2024,303.4,316.5,648,8488.8
HFCL,25-12-2023,05-02-2024,85.8,103.5,885,15664.5
GREAVESCOT,31-12-2023,11-02-2024,156.15,151.6,774,-3521.7
AVANTIFEED,14-01-2024,22-01-2024,552.25,512.05,192,-7718.4
RAIN,28-01-2024,11-02-2024,186,170.9,1209,-18255.9
JAMNAAUTO,11-02-2024,01-03-2024,115.75,135.7,572,11411.4
VGUARD,11-02-2024,01-03-2024,307,341.85,260,9061
TRITURBINE,11-02-2024,01-03-2024,428.35,514.15,78,6692.4
JAMNAAUTO,11-02-2024,11-03-2024,115.75,117.95,1400,3080
VGUARD,11-02-2024,12-03-2024,307,306.1,570,-513
ABCAPITAL,11-02-2024,25-03-2024,180.4,177.1,1421,-4689.3
TRITURBINE,11-02-2024,25-03-2024,428.35,537.6,161,17589.25
JAGRAN,18-02-2024,05-03-2024,114.3,108.25,871,-5269.55
ASTRAL,25-02-2024,18-03-2024,2084.45,1951.75,53,-7033.1
SHILPAMED,25-02-2024,07-04-2024,216.05,253,364,13449.8
TATACHEM,10-03-2024,19-03-2024,1175.4,1031.3,88,-12680.8
HEG,17-03-2024,09-04-2024,373.05,471.35,71,6979.3
ICICIPRULI,17-03-2024,28-04-2024,565.85,559.9,298,-1773.1
HEG,17-03-2024,28-04-2024,373.05,477.45,179,18687.6
LINDEINDIA,25-03-2024,18-04-2024,6390.7,7372.75,7,6874.35
DMART,25-03-2024,06-05-2024,4486.2,4660.45,69,12023.25
LINDEINDIA,25-03-2024,06-05-2024,6390.7,7983.1,17,27070.8
MUTHOOTFIN,07-04-2024,20-05-2024,1674.2,1703.4,84,2452.8
HINDZINC,14-04-2024,02-05-2024,407.25,470.1,106,6662.1
HINDZINC,14-04-2024,26-05-2024,407.25,706.9,272,81504.8
SYMPHONY,14-04-2024,26-05-2024,951.7,1054.65,115,11839.25
COFFEEDAY,21-04-2024,30-05-2024,64.2,53.9,658,-6777.4
BHARATFORG,28-04-2024,15-05-2024,1282,1483,31,6231
DEEPAKNTR,28-04-2024,28-05-2024,2443.85,2267.65,32,-5638.4
ABFRL,28-04-2024,05-06-2024,203.45,243.85,131,5292.4
BHARATFORG,28-04-2024,09-06-2024,1282,1580.8,65,19422
ABFRL,28-04-2024,09-06-2024,203.45,245.15,290,12093
WHIRLPOOL,28-04-2024,09-06-2024,1476.7,1702.6,20,4518
WHIRLPOOL,28-04-2024,09-06-2024,1476.7,1702.6,49,11069.1
JISLJALEQS,20-05-2024,03-06-2024,64.55,55,1574,-15031.7
GLAXO,20-05-2024,01-07-2024,2344.3,2618.75,54,14820.3
VINATIORGA,26-05-2024,07-07-2024,1766.45,1917.45,120,18120
NESCO,26-05-2024,07-07-2024,874.45,920.75,167,7732.1
KNRCON,02-06-2024,12-06-2024,324.6,382.8,128,7449.6
SUNDRMFAST,02-06-2024,01-07-2024,1225.1,1392.7,37,6201.2
KNRCON,02-06-2024,14-07-2024,324.6,360.8,267,9665.4
SUNDRMFAST,02-06-2024,14-07-2024,1225.1,1381.7,76,11901.6
DBCORP,09-06-2024,09-07-2024,306.8,384.85,97,7570.85
SUNTECK,09-06-2024,15-07-2024,524.75,630.05,84,8845.2
SUNTECK,09-06-2024,21-07-2024,524.75,609.75,195,16575
DBCORP,09-06-2024,21-07-2024,306.8,349.6,216,9244.8
IDEA,09-06-2024,21-07-2024,15.81,15.89,4816,385.28
GRANULES,09-06-2024,21-07-2024,473.35,517.8,239,10623.55
3MINDIA,17-06-2024,29-07-2024,37068.55,39600.65,3,7596.3
BAJAJHLDNG,07-07-2024,04-08-2024,9905.15,9121.4,18,-14107.5
NIACL,07-07-2024,12-08-2024,275.82,238.8,359,-13290.18
PERSISTENT,07-07-2024,18-08-2024,4586.3,4874.5,35,10087
GREAVESCOT,14-07-2024,18-07-2024,168.69,153.55,704,-10658.56
PCJEWELLER,14-07-2024,25-07-2024,7.07,8.58,5185,7829.35
PCJEWELLER,14-07-2024,25-08-2024,7.07,11.98,11362,55787.42
IDBI,21-07-2024,01-09-2024,89.59,94.78,2025,10509.75
APLLTD,28-07-2024,08-08-2024,1239.05,1130.35,139,-15109.3
JAMNAAUTO,04-08-2024,01-09-2024,130.75,126,972,-4617
SRF,04-08-2024,15-09-2024,2473,2436.9,85,-3068.5
MRF,11-08-2024,22-09-2024,137285.5,137234.8,1,-50.7
EDELWEISS,25-08-2024,22-09-2024,109.85,140.63,379,11665.62
SHK,25-08-2024,23-09-2024,237.77,300.42,166,10399.9
INDOCO,25-08-2024,03-10-2024,360.75,334.65,492,-12841.2
EDELWEISS,25-08-2024,06-10-2024,109.85,115.4,1029,5710.95
SHK,25-08-2024,06-10-2024,237.77,293.85,483,27086.64
BAJAJFINSV,01-09-2024,07-10-2024,1840.55,1838.15,142,-340.8
PRSMJOHNSN,08-09-2024,10-09-2024,174,232.61,137,8029.57
PRSMJOHNSN,08-09-2024,18-09-2024,174,195.43,437,9364.91
PTC,15-09-2024,18-09-2024,242.16,214.65,623,-17138.73
RAIN,15-09-2024,06-10-2024,185.87,161.51,680,-16564.8
GUJALKALI,15-09-2024,27-10-2024,822.05,807.15,149,-2220.1
VAKRANGEE,29-09-2024,03-10-2024,35.73,30.71,4308,-21626.16
TATAPOWER,29-09-2024,06-10-2024,482.6,441.3,333,-13752.9
CARERATING,13-10-2024,23-10-2024,1213.6,1407,79,15278.6
CARERATING,13-10-2024,24-11-2024,1213.6,1477.25,168,44293.2
ASHOKA,08-12-2024,19-01-2025,284.61,285.25,741,474.24
JISLJALEQS,15-12-2024,19-12-2024,77.4,68.94,2031,-17182.26
ITI,15-12-2024,05-01-2025,373,544.35,100,17135
ITI,15-12-2024,08-01-2025,373,440.4,343,23118.2
LEMONTREE,15-12-2024,09-01-2025,149.73,140.35,1894,-17765.72
MUTHOOTFIN,15-12-2024,26-01-2025,2119.2,2139,105,2079
GHCL,15-12-2024,26-01-2025,694.25,683.05,168,-1881.6
COROMANDEL,23-03-2025,04-05-2025,1986,2228.2,149,36087.8
MAHSCOOTER,31-03-2025,12-05-2025,10686.2,11536,20,16996
MARICO,14-04-2025,26-05-2025,711.85,715.65,305,1159
HDFCAMC,27-04-2025,05-06-2025,2174,2544,24,8880
AUBANK,27-04-2025,08-06-2025,688.4,772,250,20900
HDFCAMC,27-04-2025,08-06-2025,2174,2608.5,54,23463
KRBL,27-04-2025,08-06-2025,311.5,371.15,357,21295.05
CEATLTD,04-05-2025,15-06-2025,3430.9,3638.8,48,9979.2
RELIANCE,04-05-2025,15-06-2025,1431.3,1437.8,157,1020.5
CARERATING,18-05-2025,29-05-2025,1540.4,1796,24,6134.4
BIRLACORPN,18-05-2025,19-06-2025,1407.5,1266,83,-11744.5
INTELLECT,18-05-2025,29-06-2025,1062.15,1148.9,117,10149.75
CARERATING,18-05-2025,29-06-2025,1540.4,1788.2,49,12142.2
SOUTHBANK,18-05-2025,29-06-2025,28.77,30.79,3746,7566.92
SHILPAMED,01-06-2025,13-07-2025,442.8,452.95,205,2080.75
BRIGADE,08-06-2025,18-06-2025,1252.7,1135.4,155,-18181.5
DCAL,08-06-2025,18-06-2025,274.1,240.9,443,-14707.6
GLENMARK,08-06-2025,06-07-2025,1599.2,1860.1,29,7566.1
GLENMARK,08-06-2025,20-07-2025,1599.2,2184.8,65,38064
NESCO,15-06-2025,29-06-2025,1009.65,1164.65,58,8990
WOCKPHARMA,15-06-2025,27-07-2025,1803.9,1682.9,72,-8712
NESCO,15-06-2025,27-07-2025,1009.65,1235,139,31323.65
HEIDELBERG,06-07-2025,17-08-2025,205.8,211.04,1759,9217.16
PCJEWELLER,13-07-2025,24-07-2025,17.02,14.55,8908,-22002.76
DBL,14-09-2025,25-09-2025,560.75,508.95,468,-24242.4
NLCINDIA,14-09-2025,26-10-2025,261.92,260.5,1419,-2014.98
HINDZINC,05-10-2025,05-11-2025,491.5,467.2,839,-20387.7
MOIL,12-10-2025,17-11-2025,378,343.5,569,-19630.5
CEATLTD,19-10-2025,17-11-2025,4203.9,3885.6,50,-15915
MRPL,26-10-2025,10-11-2025,146.63,174.67,305,8552.2
MRPL,26-10-2025,26-11-2025,146.63,156.93,656,6756.8
FEDERALBNK,26-10-2025,01-12-2025,234.04,258.45,454,11082.14
FEDERALBNK,26-10-2025,07-12-2025,234.04,257.45,924,21630.84
DCBBANK,02-11-2025,16-11-2025,159.35,186.15,288,7718.4
DCBBANK,02-11-2025,14-12-2025,159.35,169.63,730,7504.4
BHEL,02-11-2025,14-12-2025,264.95,282.6,494,8719.1
HATSUN,02-11-2025,14-12-2025,1073.3,1008.7,99,-6395.4
IDBI,02-11-2025,14-12-2025,101.51,98.84,722,-1927.74
REDINGTON,09-11-2025,21-12-2025,287.5,274.85,317,-4010.05
3MINDIA,09-11-2025,21-12-2025,36025,35435,4,-2360
KTKBANK,23-11-2025,14-12-2025,198.84,199.99,1472,1692.8
MASFIN,07-12-2025,18-01-2026,311.05,310.55,803,-401.5
TIMKEN,08-02-2026,12-02-2026,3287.1,3062.8,81,-18168.3
VTL,08-02-2026,22-03-2026,507.05,538.8,682,21653.5
ABB,08-02-2026,22-03-2026,5815.5,6041.5,62,14012
BLUESTARCO,15-02-2026,03-03-2026,1975.4,1843.6,96,-12652.8
MAHLOG,15-02-2026,12-03-2026,403.55,368.85,551,-19119.7
LINDEINDIA,15-02-2026,29-03-2026,6768,6844,35,2660
EDELWEISS,22-02-2026,03-03-2026,123.18,107.79,830,-12773.7
HSCL,22-02-2026,03-03-2026,490.35,442.3,236,-11339.8
,,,,,,
,1514,,,,,1131472.22
,,,,,,747.3396433
,,,,,,22420.1893
