equity,,equity,date,
1000000.00,,1000000.00,03-01-2022,00:00:00+05:30
1000000.00,,1000000.00,03-01-2022,00:00:00+05:30
1000000.00,,1000000.00,04-01-2022,00:00:00+05:30
1000000.00,,1000000.00,05-01-2022,00:00:00+05:30
1000000.00,,1000000.00,06-01-2022,00:00:00+05:30
1000000.00,,1000000.00,07-01-2022,00:00:00+05:30
1000000.00,,1000000.00,10-01-2022,00:00:00+05:30
1000000.00,,1000000.00,11-01-2022,00:00:00+05:30
1000000.00,,1000000.00,12-01-2022,00:00:00+05:30
1000000.00,,1000000.00,13-01-2022,00:00:00+05:30
1000000.00,,1000000.00,14-01-2022,00:00:00+05:30
1000000.00,,1000000.00,17-01-2022,00:00:00+05:30
1000000.00,,1000000.00,18-01-2022,00:00:00+05:30
1000000.00,,1000000.00,19-01-2022,00:00:00+05:30
1000000.00,,1000000.00,20-01-2022,00:00:00+05:30
1000000.00,,1000000.00,21-01-2022,00:00:00+05:30
1000000.00,,1000000.00,24-01-2022,00:00:00+05:30
1000000.00,,1000000.00,25-01-2022,00:00:00+05:30
1000000.00,,1000000.00,27-01-2022,00:00:00+05:30
1000000.00,,1000000.00,28-01-2022,00:00:00+05:30
1000000.00,,1000000.00,31-01-2022,00:00:00+05:30
1000000.00,,1000000.00,01-02-2022,00:00:00+05:30
1000000.00,,1000000.00,02-02-2022,00:00:00+05:30
1000000.00,,1000000.00,03-02-2022,00:00:00+05:30
1000000.00,,1000000.00,04-02-2022,00:00:00+05:30
1000000.00,,1000000.00,07-02-2022,00:00:00+05:30
1000000.00,,1000000.00,08-02-2022,00:00:00+05:30
1000000.00,,1000000.00,09-02-2022,00:00:00+05:30
1000000.00,,1000000.00,10-02-2022,00:00:00+05:30
1000000.00,,1000000.00,11-02-2022,00:00:00+05:30
1000000.00,,1000000.00,14-02-2022,00:00:00+05:30
1000000.00,,1000000.00,15-02-2022,00:00:00+05:30
1000000.00,,1000000.00,16-02-2022,00:00:00+05:30
1000000.00,,1000000.00,17-02-2022,00:00:00+05:30
1000000.00,,1000000.00,18-02-2022,00:00:00+05:30
1000000.00,,1000000.00,21-02-2022,00:00:00+05:30
1000000.00,,1000000.00,22-02-2022,00:00:00+05:30
1000000.00,,1000000.00,23-02-2022,00:00:00+05:30
1000000.00,,1000000.00,24-02-2022,00:00:00+05:30
1000000.00,,1000000.00,25-02-2022,00:00:00+05:30
1000000.00,,1000000.00,28-02-2022,00:00:00+05:30
1000000.00,,1000000.00,02-03-2022,00:00:00+05:30
1000000.00,,1000000.00,03-03-2022,00:00:00+05:30
1000000.00,,1000000.00,04-03-2022,00:00:00+05:30
1000000.00,,1000000.00,07-03-2022,00:00:00+05:30
1000000.00,,1000000.00,08-03-2022,00:00:00+05:30
1000000.00,,1000000.00,09-03-2022,00:00:00+05:30
1000000.00,,1000000.00,10-03-2022,00:00:00+05:30
1000000.00,,1000000.00,11-03-2022,00:00:00+05:30
1000000.00,,1000000.00,14-03-2022,00:00:00+05:30
1000000.00,,1000000.00,15-03-2022,00:00:00+05:30
1000000.00,,1000000.00,16-03-2022,00:00:00+05:30
1000000.00,,1000000.00,17-03-2022,00:00:00+05:30
1000000.00,,1000000.00,21-03-2022,00:00:00+05:30
1000000.00,,1000000.00,22-03-2022,00:00:00+05:30
1000000.00,,1000000.00,23-03-2022,00:00:00+05:30
1000000.00,,1000000.00,24-03-2022,00:00:00+05:30
1000000.00,,1000000.00,25-03-2022,00:00:00+05:30
1000000.00,,1000000.00,28-03-2022,00:00:00+05:30
1000000.00,,1000000.00,29-03-2022,00:00:00+05:30
1000000.00,,1000000.00,30-03-2022,00:00:00+05:30
1000000.00,,1000000.00,31-03-2022,00:00:00+05:30
1000000.00,,1000000.00,01-04-2022,00:00:00+05:30
1000000.00,,1000000.00,04-04-2022,00:00:00+05:30
1000000.00,,1000000.00,05-04-2022,00:00:00+05:30
1000000.00,,1000000.00,06-04-2022,00:00:00+05:30
1000000.00,,1000000.00,07-04-2022,00:00:00+05:30
1000000.00,,1000000.00,08-04-2022,00:00:00+05:30
1000000.00,,1000000.00,11-04-2022,00:00:00+05:30
1000000.00,,1000000.00,12-04-2022,00:00:00+05:30
1000000.00,,1000000.00,13-04-2022,00:00:00+05:30
1000000.00,,1000000.00,18-04-2022,00:00:00+05:30
1000000.00,,1000000.00,19-04-2022,00:00:00+05:30
1000000.00,,1000000.00,20-04-2022,00:00:00+05:30
1000000.00,,1000000.00,21-04-2022,00:00:00+05:30
1000000.00,,1000000.00,22-04-2022,00:00:00+05:30
1000000.00,,1000000.00,25-04-2022,00:00:00+05:30
1000000.00,,1000000.00,26-04-2022,00:00:00+05:30
1000000.00,,1000000.00,27-04-2022,00:00:00+05:30
1000000.00,,1000000.00,28-04-2022,00:00:00+05:30
1000000.00,,1000000.00,29-04-2022,00:00:00+05:30
1000000.00,,1000000.00,02-05-2022,00:00:00+05:30
1000000.00,,1000000.00,04-05-2022,00:00:00+05:30
1000000.00,,1000000.00,05-05-2022,00:00:00+05:30
1000000.00,,1000000.00,06-05-2022,00:00:00+05:30
1000000.00,,1000000.00,09-05-2022,00:00:00+05:30
1000000.00,,1000000.00,10-05-2022,00:00:00+05:30
1000000.00,,1000000.00,11-05-2022,00:00:00+05:30
1000000.00,,1000000.00,12-05-2022,00:00:00+05:30
1000000.00,,1000000.00,13-05-2022,00:00:00+05:30
1000000.00,,1000000.00,16-05-2022,00:00:00+05:30
1000000.00,,1000000.00,17-05-2022,00:00:00+05:30
1000000.00,,1000000.00,18-05-2022,00:00:00+05:30
1000000.00,,1000000.00,19-05-2022,00:00:00+05:30
1000000.00,,1000000.00,20-05-2022,00:00:00+05:30
1000000.00,,1000000.00,23-05-2022,00:00:00+05:30
1000000.00,,1000000.00,24-05-2022,00:00:00+05:30
1000000.00,,1000000.00,25-05-2022,00:00:00+05:30
1000000.00,,1000000.00,26-05-2022,00:00:00+05:30
1000000.00,,1000000.00,27-05-2022,00:00:00+05:30
1000000.00,,1000000.00,30-05-2022,00:00:00+05:30
1000000.00,,1000000.00,31-05-2022,00:00:00+05:30
1000000.00,,1000000.00,01-06-2022,00:00:00+05:30
1000000.00,,1000000.00,02-06-2022,00:00:00+05:30
1000000.00,,1000000.00,03-06-2022,00:00:00+05:30
1000000.00,,1000000.00,06-06-2022,00:00:00+05:30
1000000.00,,1000000.00,07-06-2022,00:00:00+05:30
1000000.00,,1000000.00,08-06-2022,00:00:00+05:30
1000000.00,,1000000.00,09-06-2022,00:00:00+05:30
1000000.00,,1000000.00,10-06-2022,00:00:00+05:30
1000000.00,,1000000.00,13-06-2022,00:00:00+05:30
1000000.00,,1000000.00,14-06-2022,00:00:00+05:30
1000000.00,,1000000.00,15-06-2022,00:00:00+05:30
1000000.00,,1000000.00,16-06-2022,00:00:00+05:30
1000000.00,,1000000.00,17-06-2022,00:00:00+05:30
1000000.00,,1000000.00,20-06-2022,00:00:00+05:30
1000000.00,,1000000.00,21-06-2022,00:00:00+05:30
1000000.00,,1000000.00,22-06-2022,00:00:00+05:30
1000000.00,,1000000.00,23-06-2022,00:00:00+05:30
1000000.00,,1000000.00,24-06-2022,00:00:00+05:30
1000000.00,,1000000.00,27-06-2022,00:00:00+05:30
1000000.00,,1000000.00,28-06-2022,00:00:00+05:30
1000000.00,,1000000.00,29-06-2022,00:00:00+05:30
1000000.00,,1000000.00,30-06-2022,00:00:00+05:30
1000000.00,,1000000.00,01-07-2022,00:00:00+05:30
1000000.00,,1000000.00,04-07-2022,00:00:00+05:30
1000000.00,,1000000.00,05-07-2022,00:00:00+05:30
1000000.00,,1000000.00,06-07-2022,00:00:00+05:30
1000000.00,,1000000.00,07-07-2022,00:00:00+05:30
1000000.00,,1000000.00,08-07-2022,00:00:00+05:30
1000000.00,,1000000.00,11-07-2022,00:00:00+05:30
1000000.00,,1000000.00,12-07-2022,00:00:00+05:30
1000000.00,,1000000.00,13-07-2022,00:00:00+05:30
1000000.00,,1000000.00,14-07-2022,00:00:00+05:30
1000000.00,,1000000.00,15-07-2022,00:00:00+05:30
1000000.00,,1000000.00,18-07-2022,00:00:00+05:30
1000000.00,,1000000.00,19-07-2022,00:00:00+05:30
1000000.00,,1000000.00,20-07-2022,00:00:00+05:30
1000000.00,,1000000.00,21-07-2022,00:00:00+05:30
1000000.00,,1000000.00,22-07-2022,00:00:00+05:30
1000000.00,,1000000.00,25-07-2022,00:00:00+05:30
1000000.00,,1000000.00,26-07-2022,00:00:00+05:30
1000000.00,,1000000.00,27-07-2022,00:00:00+05:30
1000000.00,,1000000.00,28-07-2022,00:00:00+05:30
1000000.00,,1000000.00,29-07-2022,00:00:00+05:30
1000000.00,,1000000.00,01-08-2022,00:00:00+05:30
1000000.00,,1000000.00,02-08-2022,00:00:00+05:30
1000000.00,,1000000.00,03-08-2022,00:00:00+05:30
1000000.00,,1000000.00,04-08-2022,00:00:00+05:30
1000000.00,,1000000.00,05-08-2022,00:00:00+05:30
1000000.00,,1000000.00,08-08-2022,00:00:00+05:30
1000000.00,,1000000.00,10-08-2022,00:00:00+05:30
1000000.00,,1000000.00,11-08-2022,00:00:00+05:30
1000000.00,,1000000.00,12-08-2022,00:00:00+05:30
1000000.00,,1000000.00,16-08-2022,00:00:00+05:30
1000000.00,,1000000.00,17-08-2022,00:00:00+05:30
1000000.00,,1000000.00,18-08-2022,00:00:00+05:30
1000000.00,,1000000.00,19-08-2022,00:00:00+05:30
1000000.00,,1000000.00,22-08-2022,00:00:00+05:30
1000000.00,,1000000.00,23-08-2022,00:00:00+05:30
1000000.00,,1000000.00,24-08-2022,00:00:00+05:30
1000000.00,,1000000.00,25-08-2022,00:00:00+05:30
1000000.00,,1000000.00,26-08-2022,00:00:00+05:30
1000000.00,,1000000.00,29-08-2022,00:00:00+05:30
1000000.00,,1000000.00,30-08-2022,00:00:00+05:30
1000000.00,,1000000.00,01-09-2022,00:00:00+05:30
1000000.00,,1000000.00,02-09-2022,00:00:00+05:30
1000000.00,,1000000.00,05-09-2022,00:00:00+05:30
1000000.00,,1000000.00,06-09-2022,00:00:00+05:30
1000000.00,,1000000.00,07-09-2022,00:00:00+05:30
1000000.00,,1000000.00,08-09-2022,00:00:00+05:30
1000000.00,,1000000.00,09-09-2022,00:00:00+05:30
1000000.00,,1000000.00,12-09-2022,00:00:00+05:30
1000000.00,,1000000.00,13-09-2022,00:00:00+05:30
1000000.00,,1000000.00,14-09-2022,00:00:00+05:30
1000000.00,,1000000.00,15-09-2022,00:00:00+05:30
1000000.00,,1000000.00,16-09-2022,00:00:00+05:30
1000000.00,,1000000.00,19-09-2022,00:00:00+05:30
1000000.00,,1000000.00,20-09-2022,00:00:00+05:30
1000000.00,,1000000.00,21-09-2022,00:00:00+05:30
1000000.00,,1000000.00,22-09-2022,00:00:00+05:30
1000000.00,,1000000.00,23-09-2022,00:00:00+05:30
1000000.00,,1000000.00,26-09-2022,00:00:00+05:30
1000000.00,,1000000.00,27-09-2022,00:00:00+05:30
1000000.00,,1000000.00,28-09-2022,00:00:00+05:30
1000000.00,,1000000.00,29-09-2022,00:00:00+05:30
1000000.00,,1000000.00,30-09-2022,00:00:00+05:30
1000000.00,,1000000.00,03-10-2022,00:00:00+05:30
1000000.00,,1000000.00,04-10-2022,00:00:00+05:30
1000000.00,,1000000.00,06-10-2022,00:00:00+05:30
1000000.00,,1000000.00,07-10-2022,00:00:00+05:30
1000000.00,,1000000.00,10-10-2022,00:00:00+05:30
1000000.00,,1000000.00,11-10-2022,00:00:00+05:30
1000000.00,,1000000.00,12-10-2022,00:00:00+05:30
1000000.00,,1000000.00,13-10-2022,00:00:00+05:30
1000000.00,,1000000.00,14-10-2022,00:00:00+05:30
1000000.00,,1000000.00,17-10-2022,00:00:00+05:30
1000000.00,,1000000.00,18-10-2022,00:00:00+05:30
1000000.00,,1000000.00,19-10-2022,00:00:00+05:30
1000000.00,,1000000.00,20-10-2022,00:00:00+05:30
1000000.00,,1000000.00,21-10-2022,00:00:00+05:30
1000000.00,,1000000.00,24-10-2022,00:00:00+05:30
1000000.00,,1000000.00,25-10-2022,00:00:00+05:30
1000000.00,,1000000.00,27-10-2022,00:00:00+05:30
1000000.00,,1000000.00,28-10-2022,00:00:00+05:30
1000000.00,,1000000.00,31-10-2022,00:00:00+05:30
1000000.00,,1000000.00,01-11-2022,00:00:00+05:30
1000000.00,,1000000.00,02-11-2022,00:00:00+05:30
1000000.00,,1000000.00,03-11-2022,00:00:00+05:30
1000000.00,,1000000.00,04-11-2022,00:00:00+05:30
1000000.00,,1000000.00,07-11-2022,00:00:00+05:30
1000000.00,,1000000.00,09-11-2022,00:00:00+05:30
1000000.00,,1000000.00,10-11-2022,00:00:00+05:30
1000000.00,,1000000.00,11-11-2022,00:00:00+05:30
1000000.00,,1000000.00,14-11-2022,00:00:00+05:30
1000000.00,,1000000.00,15-11-2022,00:00:00+05:30
1000000.00,,1000000.00,16-11-2022,00:00:00+05:30
1000000.00,,1000000.00,17-11-2022,00:00:00+05:30
1000000.00,,1000000.00,18-11-2022,00:00:00+05:30
1000000.00,,1000000.00,21-11-2022,00:00:00+05:30
1000000.00,,1000000.00,22-11-2022,00:00:00+05:30
1000000.00,,1000000.00,23-11-2022,00:00:00+05:30
1000000.00,,1000000.00,24-11-2022,00:00:00+05:30
1000000.00,,1000000.00,25-11-2022,00:00:00+05:30
1000000.00,,1000000.00,28-11-2022,00:00:00+05:30
1000000.00,,1000000.00,29-11-2022,00:00:00+05:30
1000000.00,,1000000.00,30-11-2022,00:00:00+05:30
1000000.00,,1000000.00,01-12-2022,00:00:00+05:30
1000000.00,,1000000.00,02-12-2022,00:00:00+05:30
1000000.00,,1000000.00,05-12-2022,00:00:00+05:30
1000000.00,,1000000.00,06-12-2022,00:00:00+05:30
1000000.00,,1000000.00,07-12-2022,00:00:00+05:30
1000000.00,,1000000.00,08-12-2022,00:00:00+05:30
1000000.00,,1000000.00,09-12-2022,00:00:00+05:30
1000000.00,,1000000.00,12-12-2022,00:00:00+05:30
1000000.00,,1000000.00,13-12-2022,00:00:00+05:30
1000000.00,,1000000.00,14-12-2022,00:00:00+05:30
1000000.00,,1000000.00,15-12-2022,00:00:00+05:30
1000000.00,,1000000.00,16-12-2022,00:00:00+05:30
1000000.00,,1000000.00,19-12-2022,00:00:00+05:30
1000000.00,,1000000.00,20-12-2022,00:00:00+05:30
1000000.00,,1000000.00,21-12-2022,00:00:00+05:30
1000000.00,,1000000.00,22-12-2022,00:00:00+05:30
1000000.00,,1000000.00,23-12-2022,00:00:00+05:30
1000000.00,,1000000.00,26-12-2022,00:00:00+05:30
1000000.00,,1000000.00,27-12-2022,00:00:00+05:30
1000000.00,,1000000.00,28-12-2022,00:00:00+05:30
1000000.00,,1000000.00,29-12-2022,00:00:00+05:30
1000000.00,,1000000.00,30-12-2022,00:00:00+05:30
1000000.00,,1000000.00,02-01-2023,00:00:00+05:30
1000000.00,,1000000.00,03-01-2023,00:00:00+05:30
1000000.00,,1000000.00,04-01-2023,00:00:00+05:30
1000000.00,,1000000.00,05-01-2023,00:00:00+05:30
1000000.00,,1000000.00,06-01-2023,00:00:00+05:30
1000000.00,,1000000.00,09-01-2023,00:00:00+05:30
1000000.00,,1000000.00,10-01-2023,00:00:00+05:30
1000000.00,,1000000.00,11-01-2023,00:00:00+05:30
1000000.00,,1000000.00,12-01-2023,00:00:00+05:30
1000000.00,,1000000.00,13-01-2023,00:00:00+05:30
1000000.00,,1000000.00,16-01-2023,00:00:00+05:30
1000000.00,,1000000.00,17-01-2023,00:00:00+05:30
1000000.00,,1000000.00,18-01-2023,00:00:00+05:30
1000000.00,,1000000.00,19-01-2023,00:00:00+05:30
1000000.00,,1000000.00,20-01-2023,00:00:00+05:30
1000000.00,,1000000.00,23-01-2023,00:00:00+05:30
1000000.00,,1000000.00,24-01-2023,00:00:00+05:30
1000000.00,,1000000.00,25-01-2023,00:00:00+05:30
1000000.00,,1000000.00,27-01-2023,00:00:00+05:30
1000000.00,,1000000.00,30-01-2023,00:00:00+05:30
1000000.00,,1000000.00,31-01-2023,00:00:00+05:30
1000000.00,,1000000.00,01-02-2023,00:00:00+05:30
1000000.00,,1000000.00,02-02-2023,00:00:00+05:30
1000000.00,,1000000.00,03-02-2023,00:00:00+05:30
1000000.00,,1000000.00,06-02-2023,00:00:00+05:30
1000000.00,,1000000.00,07-02-2023,00:00:00+05:30
1000000.00,,1000000.00,08-02-2023,00:00:00+05:30
1000000.00,,1000000.00,09-02-2023,00:00:00+05:30
1000000.00,,1000000.00,10-02-2023,00:00:00+05:30
1000000.00,,1000000.00,13-02-2023,00:00:00+05:30
1000000.00,,1000000.00,14-02-2023,00:00:00+05:30
1000000.00,,1000000.00,15-02-2023,00:00:00+05:30
1000000.00,,1000000.00,16-02-2023,00:00:00+05:30
1000000.00,,1000000.00,17-02-2023,00:00:00+05:30
1000000.00,,1000000.00,20-02-2023,00:00:00+05:30
1000000.00,,1000000.00,21-02-2023,00:00:00+05:30
1000000.00,,1000000.00,22-02-2023,00:00:00+05:30
1000000.00,,1000000.00,23-02-2023,00:00:00+05:30
1000000.00,,1000000.00,24-02-2023,00:00:00+05:30
1000000.00,,1000000.00,27-02-2023,00:00:00+05:30
1000000.00,,1000000.00,28-02-2023,00:00:00+05:30
1000000.00,,1000000.00,01-03-2023,00:00:00+05:30
1000000.00,,1000000.00,02-03-2023,00:00:00+05:30
1000000.00,,1000000.00,03-03-2023,00:00:00+05:30
1000000.00,,1000000.00,06-03-2023,00:00:00+05:30
1000000.00,,1000000.00,08-03-2023,00:00:00+05:30
1000000.00,,1000000.00,09-03-2023,00:00:00+05:30
1000000.00,,1000000.00,10-03-2023,00:00:00+05:30
1000000.00,,1000000.00,13-03-2023,00:00:00+05:30
1000000.00,,1000000.00,14-03-2023,00:00:00+05:30
1000000.00,,1000000.00,15-03-2023,00:00:00+05:30
1000000.00,,1000000.00,16-03-2023,00:00:00+05:30
1000000.00,,1000000.00,17-03-2023,00:00:00+05:30
1000000.00,,1000000.00,20-03-2023,00:00:00+05:30
1000000.00,,1000000.00,21-03-2023,00:00:00+05:30
1000000.00,,1000000.00,22-03-2023,00:00:00+05:30
1000000.00,,1000000.00,23-03-2023,00:00:00+05:30
1000000.00,,1000000.00,24-03-2023,00:00:00+05:30
1000000.00,,1000000.00,27-03-2023,00:00:00+05:30
1000000.00,,1000000.00,28-03-2023,00:00:00+05:30
1000000.00,,1000000.00,29-03-2023,00:00:00+05:30
1000000.00,,1000000.00,31-03-2023,00:00:00+05:30
1000000.00,,1000000.00,03-04-2023,00:00:00+05:30
1000000.00,,1000000.00,05-04-2023,00:00:00+05:30
1000000.00,,1000000.00,06-04-2023,00:00:00+05:30
1000000.00,,1000000.00,10-04-2023,00:00:00+05:30
999534.1000000001,,999534.1,11-04-2023,00:00:00+05:30
1002434.9000000001,,1002434.9,12-04-2023,00:00:00+05:30
1006148.1000000001,,1006148.1,13-04-2023,00:00:00+05:30
1006091.20,,1006091.2,17-04-2023,00:00:00+05:30
1008523.5999999999,,1008523.6,18-04-2023,00:00:00+05:30
1012503.8999999999,,1012503.9,19-04-2023,00:00:00+05:30
1008773.3999999999,,1008773.4,20-04-2023,00:00:00+05:30
1001347.30,,1001347.30,21-04-2023,00:00:00+05:30
1007533.25,,1007533.25,24-04-2023,00:00:00+05:30
1009207.30,,1009207.30,25-04-2023,00:00:00+05:30
1014428.1500000001,,1014428.15,26-04-2023,00:00:00+05:30
1024780.6000000001,,1024780.6,27-04-2023,00:00:00+05:30
1033787.8500000001,,1033787.85,28-04-2023,00:00:00+05:30
1040271.7000000002,,1040271.7,02-05-2023,00:00:00+05:30
1051537.36,,1051537.36,03-05-2023,00:00:00+05:30
1058244.6700000002,,1058244.67,04-05-2023,00:00:00+05:30
1052066.4000000001,,1052066.4,05-05-2023,00:00:00+05:30
1057603.25,,1057603.25,08-05-2023,00:00:00+05:30
1041906.14,,1041906.14,09-05-2023,00:00:00+05:30
1047372.8500000001,,1047372.85,10-05-2023,00:00:00+05:30
1056085.6900000002,,1056085.69,11-05-2023,00:00:00+05:30
1052892.55,,1052892.55,12-05-2023,00:00:00+05:30
1051058.3599999999,,1051058.36,15-05-2023,00:00:00+05:30
1059185.27,,1059185.27,16-05-2023,00:00:00+05:30
1057354.77,,1057354.77,17-05-2023,00:00:00+05:30
1046559.7700000001,,1046559.77,18-05-2023,00:00:00+05:30
1048636.7200000002,,1048636.72,19-05-2023,00:00:00+05:30
1046390.6700000002,,1046390.67,22-05-2023,00:00:00+05:30
1042250.3200000001,,1042250.32,23-05-2023,00:00:00+05:30
1042464.52,,1042464.52,24-05-2023,00:00:00+05:30
1042830.5700000001,,1042830.57,25-05-2023,00:00:00+05:30
1046982.1700000002,,1046982.17,26-05-2023,00:00:00+05:30
1051362.7200000002,,1051362.72,29-05-2023,00:00:00+05:30
1053866.2200000002,,1053866.22,30-05-2023,00:00:00+05:30
1050176.92,,1050176.92,31-05-2023,00:00:00+05:30
1051257.52,,1051257.52,01-06-2023,00:00:00+05:30
1055980.92,,1055980.92,02-06-2023,00:00:00+05:30
1058189.62,,1058189.62,05-06-2023,00:00:00+05:30
1061628.5700000003,,1061628.57,06-06-2023,00:00:00+05:30
1083818.4200000002,,1083818.42,07-06-2023,00:00:00+05:30
1075647.02,,1075647.02,08-06-2023,00:00:00+05:30
1078223.2200000002,,1078223.22,09-06-2023,00:00:00+05:30
1094189.7700000003,,1094189.77,12-06-2023,00:00:00+05:30
1095630.27,,1095630.27,13-06-2023,00:00:00+05:30
1090355.8700000003,,1090355.87,14-06-2023,00:00:00+05:30
1093923.52,,1093923.52,15-06-2023,00:00:00+05:30
1100524.52,,1100524.52,16-06-2023,00:00:00+05:30
1105048.12,,1105048.12,19-06-2023,00:00:00+05:30
1102427.9200000004,,1102427.92,20-06-2023,00:00:00+05:30
1107422.8700000003,,1107422.87,21-06-2023,00:00:00+05:30
1098734.6700000002,,1098734.67,22-06-2023,00:00:00+05:30
1091254.1200000003,,1091254.12,23-06-2023,00:00:00+05:30
1099591.7200000004,,1099591.72,26-06-2023,00:00:00+05:30
1102756.3500000003,,1102756.35,27-06-2023,00:00:00+05:30
1105592.4900000005,,1105592.49,28-06-2023,00:00:00+05:30
1108368.7700000005,,1108368.77,30-06-2023,00:00:00+05:30
1114560.9800000004,,1114560.98,03-07-2023,00:00:00+05:30
1116004.9000000006,,1116004.90,04-07-2023,00:00:00+05:30
1116077.4700000004,,1116077.47,05-07-2023,00:00:00+05:30
1116630.5100000005,,1116630.51,06-07-2023,00:00:00+05:30
1112361.0700000005,,1112361.07,07-07-2023,00:00:00+05:30
1115069.4200000004,,1115069.42,10-07-2023,00:00:00+05:30
1125069.7700000005,,1125069.77,11-07-2023,00:00:00+05:30
1127398.0700000005,,1127398.07,12-07-2023,00:00:00+05:30
1129344.4200000004,,1129344.42,13-07-2023,00:00:00+05:30
1142846.3200000008,,1142846.32,14-07-2023,00:00:00+05:30
1144710.2700000005,,1144710.27,17-07-2023,00:00:00+05:30
1137821.8200000005,,1137821.82,18-07-2023,00:00:00+05:30
1143713.1200000006,,1143713.12,19-07-2023,00:00:00+05:30
1144052.9700000007,,1144052.97,20-07-2023,00:00:00+05:30
1143776.6700000006,,1143776.67,21-07-2023,00:00:00+05:30
1142022.8200000008,,1142022.82,24-07-2023,00:00:00+05:30
1151701.5200000007,,1151701.52,25-07-2023,00:00:00+05:30
1150482.1700000006,,1150482.17,26-07-2023,00:00:00+05:30
1153352.6700000009,,1153352.67,27-07-2023,00:00:00+05:30
1152711.5200000007,,1152711.52,28-07-2023,00:00:00+05:30
1161804.5700000008,,1161804.57,31-07-2023,00:00:00+05:30
1163060.0300000007,,1163060.03,01-08-2023,00:00:00+05:30
1154323.9900000007,,1154323.99,02-08-2023,00:00:00+05:30
